[0:00:43] いふく: あのエビにmidを！？
[3:07:38] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:07:43] 無知無知で叡智: ちゃんとしてるなw
[3:07:45] おはぎさんんんんんん: うまw
[3:08:03] darksworks: 前衛的なFの使い方上手くね？
[3:08:31] osirisirii: リコール位置こわw
[3:08:35] sabatarou: 忍者がジャングルになって襲いに行けばいいんじゃない
[3:08:50] gura_rr: ｗｗ
[3:08:52] たぴおかぱん: パッドでLoLいくぞ
[3:08:57] oba_q: boxbox
[3:08:59] pinpiro7: boxboxが
[3:09:00] muto_6: 猿がプレイしてたりするしな
[3:09:00] k4izar: ま、んた
[3:09:00] legitfroggy: 音声でユーミ動かすやつ
[3:09:01] Alka_jp: ドラムセットでやってる奴いたな
[3:09:02] 0ncn: ノートPCのタッチパッドでチャレ行った人いたじゃん
[3:09:02] kangamil: 左手デバイス
[3:09:03] 酢漬け海苔巻き: しろま、んた
[3:09:06] sabatarou: 昔パッドでやってる動画見た気がする
[3:09:07] 無知無知で叡智: ペンタブもきつそう
[3:09:12] えすわい: 格ゲーのコントローラーでダイヤ行った人いなかったっけ
[3:09:14] darksworks: ペンタブのやつもいたよな
[3:09:25] oioio795: チャリこいでる人いるよね
[3:09:42] ヒマリ: ｗｗｗ
[3:10:34] 無知無知で叡智: 川にカニとウナギ
[3:10:49] darksworks: TOPとBOTのセカンドタワーがそろそろ壊れるか？
[3:10:51] chibakite: EのセンスEね
[3:11:08] Kiri_1111: パンテオンのRはやかったらまずい
[3:11:10] legitfroggy: なんだなんだ
[3:11:12] レイムゥ: なんかブラッドきたあああｗ
[3:11:15] 無知無知で叡智: なんかすごい
[3:11:24] darksworks: エクスキュート
[3:11:35] きゅべりあさん: なんか地形が変わってAIが追い付いてないかもｗ
[3:12:23] muto_6: 3人目きたｗ
[3:12:24] darksworks: なんか3人きたああああああああ
[3:12:32] よしお2000: ｗｗｗ
[3:12:34] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:12:35] hinadarumahs: wwww
[3:12:37] 無知無知で叡智: AI3人のほうがいいかもね
[3:12:49] muto_6: こういうクレイジーなやつらも想定した練習
[3:12:52] healing__healing: AIさん？
[3:13:10] レイムゥ: 後は慣れだ
[3:14:13] ぐえ一: 毎回ルーン電撃になってるからルーンの設定教えてあげた方がいいかも
[3:14:51] 無知無知で叡智: ガンクたまに行ってあげると練習になる？ならんか
[3:15:39] sabatarou: 始めたての時ニンジャに教えてもらえるとかうらやましいな
[3:18:21] healing__healing: まあまあまあ
[3:18:25] 無知無知で叡智: スタン当てるね
[3:22:16] レイムゥ: ミクロは慣れだ～
[3:22:51] legitfroggy: 全部できればチャレンジャー
[3:23:00] 無知無知で叡智: ルーンちゃんとしないと感覚狂いそう
[3:25:48] 無知無知で叡智: AIって1番強いのザイラ？
[3:26:20] enchanteye1: トリプルトニックなのか
[3:26:25] ghjkewa: !まりも
[3:26:25] Nightbot: 8月15日お迎え 前回の水やりは12月24日 次回は1月24日
[3:27:27] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[3:28:17] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:28:50] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:29:10] 無知無知で叡智: 時間が
[3:29:34] monzpo: たぬき頑張れ！
[3:31:31] kiri_saka: 詰め替えは買うけど上位ポーションは初手以外買わない話する？
[3:31:36] 無知無知で叡智: ザイラつえーぞー
[3:31:37] すみれいろ: 最近のAIってしっかりしてるんだな
[3:33:12] annnindooooofu: ら
[3:35:03] Kiri_1111: ボタン押すのムズいってスキルのレベル上げの話かな
[3:39:12] 無知無知で叡智: いいね
[3:39:27] azuma9280: RFかっこいいんだよな
[3:40:11] 無知無知で叡智: だんだん上手くなってるのみるの楽しいな
[3:40:25] びしょーーじょ: 不利だって思えてたのイイネ
[3:41:03] 真冬のサンタさん: めっちゃつかう
[3:41:04] 無知無知で叡智: 変なクセつく前に矯正できるならしたほうがいい
[3:41:11] レイムゥ: もうありえんボコられる
[3:41:12] びしょーーじょ: ww
[3:41:24] kiri_saka: ヘラルド騎乗こんな感じか
[3:41:26] 真冬のサンタさん: マスターとかチャレとかくるど
[3:41:30] hc315: それ半年くらい行けなくない？
[3:41:30] でかいのに0: キーボード押し間違えて別のスキル覚えるシーンも見れそう
[3:41:32] Kiri_1111: タワーから追い出されるでござる
[3:41:32] すみれいろ: ぼこられてきたらいいぞ
[3:41:34] kiri_saka: ソロランクは諸説
[3:41:55] namakemono_sio: 最近のマッチング明らかにひどいから難しいところ
[3:42:06] でかいのに0: アイアンから上がれない人はつまり
[3:42:16] たぴおかぱん: 二度と上がれないは偏向報道
[3:42:25] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:42:28] 無知無知で叡智: アイアンボコせないなら、アイアンから出るべきじゃないんだよね
[3:42:32] kiri_saka: ますアカはなんならげまげまのプライドにかけて上がってもらわないとまであった
[3:42:44] びしょーーじょ: 今クイックプレイもたいがいゲームにならないんで諸説
[3:43:14] でかいのに0: みんなニューメタ開拓に忙しくてな
[3:43:44] srsm_sn: こういう初心者に教えるやつ、切り抜いてようつべに上げてくれへんかなあ
[3:44:06] でかいのに0: ほなフィズ使ってるフィズのヘイト上げとくか
[3:45:28] 真冬のサンタさん: 一回戦いながら説明してもいいかも
[3:46:06] 毎度有難う: さすがに改定後のメタはかなりあれてるか
[3:47:27] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[3:48:52] 真冬のサンタさん: いい説明
[3:49:16] 毎度有難う: メレーはオールインがつよく
[3:49:22] lan1zu: スキルが揃うまでほんとに何にもできない
[3:50:35] Kiri_1111: フィズがミニオンにAAした瞬間勝ちを確認しました
[3:51:19] kiri_saka: 全チャンプ一の平均射程やもんなぁ
[3:51:43] あわふじゲーミング: おお！たぬさん先生してる！ 頑張れー♪
[3:52:46] 真冬のサンタさん: いいね
[3:52:54] namacobushi: フィズって今1番勝率高い？
[3:55:06] でかいのに0: midがむずいよなー
[3:56:05] Kiri_1111: 全解禁12万くらいじゃなかったっけ
[3:56:36] 真冬のサンタさん: MIDレーンのキャラ教えてあげたら？
[3:56:50] あしゅたるて: 使うなー
[3:56:57] タコの刺身39800円: ダイアナはmidjgいけるからいいんじゃない？
[3:57:04] kasukabeharu: レオナも別に損しなさそうだし
[3:57:04] sinma001: MIDJGならトランドルくらいは使わないかな
[3:57:15] でかいのに0: ブルーエッセンス欲しさに砕くのはやめておいても良いかも
[3:57:20] Alka_jp: Xbosはいるなら全部割っても
[3:57:26] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[3:58:03] あしゅたるて: Xboxのやつでランク行けないみたいな制限無かったっけ
[3:58:03] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[3:58:46] でかいのに0: ポケモンを151匹は老人かも
[3:58:48] 五城: ポケモンが151匹…
[3:58:49] kiri_saka: ポケモン1本より多いけどなぜか覚えてしまう
[3:58:50] 今日も生きたね: ポケモンはもう1000体超えてます
[3:58:54] rascal045: apなら大体強い
[3:59:12] あわふじゲーミング: ニーコとかどうだろ？ 楽しくて難しすぎない
[3:59:24] kiri_saka: そ、ソフト1本にはなんだかんだ100いくらしか出ないじゃん？
[3:59:32] まろのすけ: アカリアジールとかか
[3:59:39] sinma001: アジールナイメージ
[4:00:36] 真冬のサンタさん: ｗｗｗ
[4:00:38] びしょーーじょ: wwww
[4:00:39] xxtidorixx: アイバーンの見た目がいいとかこれは有望ですよ！
[4:00:41] kiri_saka: アイバーンの見た目がいい・・・？？？
[4:00:42] のの_: エビオさんJG好きそう
[4:00:44] 真冬のサンタさん: センスあるなぁ
[4:00:44] Nyoro690960: きもすぎぃｗ
[4:00:45] Kiri_1111: 森に帰るとしよう
[4:00:45] えるみっと: 好みは独特かｗ
[4:00:45] あしゅたるて: きもいめかw
[4:00:48] touhounotouen: 変わった趣向やねw
[4:00:51] quito314: ずいぶんとキワモノがお好きなようで
[4:00:56] あわふじゲーミング: さすがはエビオｗ
[4:00:57] 毎度有難う: ゆ、ゆーもらす
[4:01:01] びしょーーじょ: 悪人なんだよなぁ…
[4:01:05] sabatarou: 全員畜生
[4:01:08] Kiri_1111: アイバーン動いてる姿見た時キモすぎてビックリした
[4:01:09] kasukabeharu: LUL
[4:01:32] nosamushiro: バフでどうなるか
[4:01:33] kiri_saka: コーキオツトメ何年目だ
[4:01:42] asa_16: フィズは見た目どうだったんだろ
[4:01:45] kasukabeharu: フェイカー御用達なばっかりに
[4:01:48] quito314: こうしてみるとミッドって人型ばっかりだな
[4:01:49] たぴおかぱん: ｗｗｗｗｗｗｗｗ
[4:01:52] カステラ: こんなんしてさ
[4:01:53] あしゅたるて: こいつはきもい
[4:01:56] たぶたろう: こんなんしてさ
[4:01:59] びしょーーじょ: ww
[4:02:00] 真冬のサンタさん: ゾーイはなぁ
[4:02:04] のの_: そんなー
[4:02:14] おじゃるまる: たかやのメインチャンプ・・・
[4:02:18] あわふじゲーミング: ナーかわいいもんねｗ
[4:02:24] kiri_saka: 一見コンボ無しワンパン9割って感じするよねゾーイ
[4:02:33] sinma001: かわいいランブルでも勧めるか
[4:02:40] kasukabeharu: ナーはねえかわいいしねえ
[4:02:41] ひやむぎ05: ザックもいい
[4:03:05] kiri_saka: アーリとか安定感は高くない？
[4:03:06] 真冬のサンタさん: アジール
[4:03:10] motarike05: ライズを授ける
[4:03:11] sabatarou: 昔はエッコがね
[4:03:16] sinma001: アーリ
[4:03:17] 木田翼: ジェイスとか？
[4:03:22] 今日も生きたね: ni-ko
[4:03:23] pepegaaim3: ニーコや
[4:03:24] mizore_m: ニーコ？
[4:03:24] clouled: 見た目の趣味だけ考えるとあんまMid向いてなさそうｗ
[4:03:30] さとたけ: ニーコがリオ
[4:03:33] 四方です: ヴェックスだな
[4:03:37] kasukabeharu: 今後半もそこまで失速しないという噂のニーコ
[4:03:41] sinma001: ジェイス
[4:03:43] レティツィア: ニーコかな
[4:03:47] 毎度有難う: ヴェックス総合的に丸いね
[4:03:51] kiri_saka: シケビ女ラックス
[4:04:03] pepegaaim3: 腐ってもCC持ってれば系
[4:04:10] たぴおかぱん: ライズ！？
[4:04:11] tsukuyon: トリス？
[4:04:13] quito314: 最初から最後まで強いチャンプを頼む！！
[4:04:27] あしゅたるて: エコーまじでいいぞ
[4:04:29] 風待人: ベイガーとか？
[4:04:33] 無知無知で叡智: ビクター
[4:04:34] まろのすけ: ベイガーとかは簡単そうだけど
[4:04:35] xxtidorixx: やるかmidケイトを
[4:04:35] よしはるさん: このゲームには主人公がおって
[4:04:39] nosamushiro: 伝家の宝刀ライズ
[4:04:47] kasukabeharu: フェイまだパワー足りないか
[4:04:57] uxkei: 序盤弱いのって初心者は難しくないですか？
[4:05:03] sinma001: ちょが
[4:05:08] sabatarou: ガリおか
[4:05:09] カーヴ: か、さんて
[4:05:14] シェル__: だいあな
[4:05:14] 真冬のサンタさん: ADキャラも1体おすすめしたい
[4:05:19] kiri_saka: バトルメイジたち授ける弟子か・・・！？
[4:05:21] 無知無知で叡智: midじゃなくていいになっちゃうよな
[4:05:24] sdnjksdv: スウェインからの回し者
[4:05:33] kasukabeharu: スウェイン団の団長
[4:05:36] xxtidorixx: 意味合いはちょっと違うかもしれないけどアニビアはとても固いけどここはスウェイン工場
[4:05:48] 真冬のサンタさん: そうだね
[4:05:52] kiri_saka: スウェインライズ教えていい空気にたぬきの表情もﾆﾁｬﾘ
[4:05:58] ぐえ一: そろそろライズすすめていくか
[4:06:10] kasukabeharu: ｗ
[4:06:11] emuracool: ガリオ
[4:06:12] でかいのに0: 主人公教えるときか
[4:06:18] pepegaaim3: アイテムの積み方かもね
[4:06:47] あわふじゲーミング: サポートもできるスウェイン、ニーコ、トップもできるヨネとかはレーンに縛られにくい
[4:07:02] まろのすけ: ライズもセラフ込みである程度硬い印象
[4:07:19] sabatarou: 似非吸血鬼
[4:07:28] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:07:46] kasukabeharu: 実は血を操ってるだけみたいな奴なんだっけ
[4:08:31] zunda11111: フィズ、スウェイン、マルザ、これだけ擦るでござ
[4:08:33] あしゅたるて: シンドラはいまアサシン多いから狩られやすいよね
[4:08:51] 真冬のサンタさん: マルザいくか
[4:08:52] Tekodora: リサンドラとか好きかな？
[4:08:56] kasukabeharu: 3年スネア
[4:08:59] hab4kiri12: マルザ？
[4:09:01] 真冬のサンタさん: ガチのキモキャラマルザ
[4:09:10] Oshizaki46: サイラスとか
[4:09:17] たぴおかぱん: LoLはキモキャラだらけ
[4:09:19] レティツィア: リサ ニーコ ザハ適正ありそう
[4:09:20] まろのすけ: リサン？
[4:09:20] xxtidorixx: マルザ見たら気絶しそう
[4:09:22] DORA_doto: リサンドラ
[4:09:22] sinma001: 全部きもい
[4:09:28] sinma001: べいがー
[4:09:29] あわふじゲーミング: CC好きな気持ちわかる
[4:09:31] jorrys: マルザやん
[4:09:36] ogurap: ライずやん
[4:09:36] kasukabeharu: マルザっすね・・・
[4:09:36] Nag27s: ニーコ
[4:09:37] shinzaki999: マルザだなｗ
[4:09:38] 無知無知で叡智: midラックス？
[4:09:41] りんぼす: ほなマルザか
[4:09:45] shinzaki999: きもくていいぞ
[4:09:47] でかいのに0: アニビアいくか
[4:09:47] xxtidorixx: つまりマルザ
[4:09:55] 風待人: このゲーム最強のCC教えるか
[4:09:57] あわふじゲーミング: サポートもできるラックスもよさそう
[4:09:58] まろのすけ: ccはあればあるだけいいですからねえ
[4:09:59] のの_: カシオペア？
[4:10:06] 無知無知で叡智: マルザは英雄が使うには…
[4:10:10] xxtidorixx: リサンドラやるか
[4:10:14] シェル__: ガリオ似合うけどな
[4:10:17] shinzaki999: 案外マルザ気に入りそうｗ
[4:10:34] a_nans: apマルファイトです、か
[4:10:39] 無知無知で叡智: opgg見に行こう
[4:10:42] xxtidorixx: 統計サイト見るのが手っ取り早い
[4:10:43] のの_: OPGGかな
[4:10:44] pepegaaim3: マルザ好きそうは分かるｗ
[4:10:48] rascal045: 正直英雄降臨して欲しい
[4:10:55] 無知無知で叡智: マルザキモいし楽しいよ
[4:10:57] 真冬のサンタさん: lolalyticsなんだよね
[4:11:00] たぴおかぱん: たぬきイチオシlolalytics
[4:11:04] もうちょい: 英雄降臨は確かに熱いなｗ
[4:11:06] でかいのに0: 忍者おすすめの統計サイト
[4:11:26] 無知無知で叡智: アクシャンどうよ
[4:11:54] あしゅたるて: エコーなんでこんな上なんだよ
[4:12:12] 無知無知で叡智: 日本TF上なの？
[4:12:30] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:12:52] madlemongrass: TFも勝率よさめ
[4:12:52] kiri_saka: ピック率とか参考値が多いんよなぁ統計も
[4:13:24] 無知無知で叡智: 初心者にTFやらせるのは無いよね
[4:13:39] madlemongrass: オリアナは今フィズに轢かれそう
[4:13:44] pepegaaim3: OTPでもランク高い人いるしね
[4:15:13] xxtidorixx: 今めっちゃピックされてるやつが辛いキャラは下に行きがち
[4:15:26] りゅーとき: プレイヤースキルでかなり変わるからなぁ・・・
[4:16:03] kiri_saka: 新しいおもちゃ試したいからねぇ
[4:17:01] sbnobutbs: https://lol.ps/ こっちの方がおすすめかも
[4:19:42] Kiri_1111: 情報量が多すぎる・・・
[4:20:06] jericho__lol: パンクしそう
[4:21:16] コーラ大好き: ブルーエッセンス以外で買ったか
[4:22:52] kasukabeharu: 上位2ぱーですぅ
[4:23:01] sinma001: たぬきやばい
[4:23:03] よっさん05: エメラルド4でどれくらいなんだろ
[4:23:40] sbnobutbs: 日本の低レート帯は強く
[4:24:25] sbnobutbs: リプレイ大事だね
[4:24:31] 五城: 戦犯の探し方も教えます、か
[4:24:49] Kiri_1111: 裁判はプロもやってるらしいしな
[4:25:12] sinma001: そうね
[4:25:55] Kiri_1111: ござアカ1期生
[4:26:10] コーラ大好き: そのうち変わってそう
[4:26:11] sinma001: 新たなスウェイン使いがまた一人
[4:26:17] えるみっと: スウェイン教
[4:26:25] あわふじゲーミング: ｗｗｗｗｗｗｗ
[4:26:28] nifu541: スウェイン推進委員会
[4:26:28] まなっど: スウェイン好きなだけのたぬき
[4:26:30] trigger0102: 宣教師ｗ
[4:26:30] jorrysz: wwww
[4:26:31] りばーせ: RaccAttack ｽｳｪｲﾝ
[4:26:31] sbnobutbs: 集団戦で強いキャラおすすめするのは良き
[4:26:32] kotatumiki: 義務スウェインの伝道師
[4:26:34] nagumon007: スウェイン教祖
[4:26:35] kasukabeharu: 既に工場長だと思われてるよ
[4:26:40] madlemongrass: スウェイン布教配信になってしまう
[4:26:53] sanso0209: スウェインのたぬき ヴァルスのゼロスト
[4:26:57] sinma001: スウェインは義務教育
[4:26:57] syadowmisutores: こいつまたスウェイン使わせてるよ！って言われる
[4:27:04] imu16: 求めてたものに嵌ったならいいんじゃないか
[4:27:04] water0004: ならニーコ？
[4:27:05] あわふじゲーミング: スウェインは振れやすいと思うｗ
[4:27:36] Nightbot: たぬきリスナー用ディスコード https://discord.gg/t4TEgGX
[4:27:53] Kiri_1111: エビオ勝ちたいタイプだ
[4:28:17] sbnobutbs: ABOすぐゴールド行きそう
[4:28:26] Nightbot: www.amazon.co.jp/dp/B08N7B77NQ 自分が配信中に飲用しているゼリーでござる。ゲームに熱中してる時のお供にどうぞ
[4:28:29] kasukabeharu: ｗ
[4:28:40] えるみっと: tanukiFree tanukiFree
[4:28:41] あわふじゲーミング: がんばれー！
[4:28:41] nagumon007: 義務ござる
[4:28:45] インペリアルデグー: おつでござ
[4:28:49] kaniwata: ｗ
[4:28:49] leon632545: また一人
[4:28:50] trigger0102: ｗｗｗ
[4:28:50] 無知無知で叡智: w
[4:28:50] Kiri_1111: スウェインです、か
[4:28:51] zunda11111: 教祖
[4:28:51] imu16: お疲れ様でした
[4:28:52] れんが: たぬき先生おつかれさまでござ
[4:28:55] nagumon007: 結局スウェインなの笑うｗ
[4:28:55] lovegorilla777: また一人
[4:28:56] 液状化猫: 義務スウェイン義務ござる
[4:28:56] sbnobutbs: 良いと思うでござ
[4:28:56] Nightbot: サブスクしてもらえるとスタンプが打てるようになりたぬきのふりをすることなどができます。後自分がめっちゃ嬉しいでござる。サブスクライブしてもらった時に自分が暇であれば手裏剣投げてって言ってくれたら手裏剣投げるでござる
[4:28:56] jorrysz: スウェイン教祖
[4:28:57] kasukabeharu: だって希望と合ってたから・・・
[4:29:00] imu16: 宣教師たぬき
[4:29:03] もうちょい: 業から逃れられない
[4:29:03] よしはるさん: 主人公もおすすめしろ raizinOko2
[4:29:03] trigger0102: 宣教師たぬき
[4:29:06] 無知無知で叡智: マルザハールええやん
[4:29:06] namu3haipa: 犠牲になってもらいます！
[4:29:06] 風待人: いつもここに来てしまう
[4:29:06] darksworks: スウェイン教祖過ぎるよ
[4:29:07] NemoUQ: ある程度動かしたとはいえ４時間半はガッツある
[4:29:11] あわふじゲーミング: 難しいチャンプ進めるよりはずっといいよｗ
[4:29:11] kangamil: 初心者向けだしいいじゃんね
[4:29:12] まろのすけ: 毎度毎度見てるこの光景
[4:29:14] syadowmisutores: やることはまじで明確だよねスウェイン
[4:29:15] kasukabeharu: 出てたよ
[4:29:17] imu16: めちゃくちゃ気に入ってそうだったｗ
[4:29:18] Kiri_1111: ノクサスの人間だろ
[4:29:18] trigger0102: わかりやすいのは大切
[4:29:24] sinma001: スウェインでよかったよ
[4:29:26] sbnobutbs: VDKも代表もスウェインで強くなったし
[4:29:26] leon632545: 大人気ゲームLOL
[4:29:27] 五城: ｗｗｗ
[4:29:27] まなっど: 生徒の適性がありすぎた
[4:29:31] darksworks: 初心者割とスウェイン好きになりがちではある
[4:29:35] nosamushiro: 硬いのが好きならスウェインを出さざるを得ない
[4:29:36] namu3haipa: 頭爆発しちゃう
[4:29:36] NemoUQ: 成功体験は大事ってたぬきも言ってたし
[4:29:37] nagumon007: 生徒の飲み込み異常だったな
[4:29:39] れんが: しっかり座学やったでござるね
[4:29:42] oya1642: 大会慣れしてるから座学はお得意よ
[4:29:50] imu16: えびお賢いんだろうなって感じした
[4:29:54] コーラ大好き: 一度に詰め込む量なのかどうか
[4:29:56] まなっど: 求められてる要素をつなぎ合わせたらスウェインは回答の一つではあった
[4:30:02] kasukabeharu: 2レーン行けるし覚えて損しないからええやろ
[4:30:03] sbnobutbs: ステップアップしたらまた次のチャンプ教えれば良いでござる
[4:30:07] vivid_john: エビオ結構ゲーム理解度高い方だし、ちゃんと練習するタイプだから心配しなくて大丈夫よ
[4:30:09] 無知無知で叡智: 実践でね
[4:30:11] カーヴ: AIと実戦は別物だしね
[4:30:14] sugino_uma: ポケモンユナイトも結構上手かったよね
[4:30:17] sjfheed: 多分もっと情報取捨選択したほうがいいとは思う
[4:30:29] でかいのに0: エクスアルビオ殿にはたぬきのコーチングの踏み台になってもらうでゴザ
[4:30:31] st_ryker: 地頭よさそう
[4:30:52] namu3haipa: 新規が増えるのは嬉しいねぇ
[4:30:56] vivid_john: エペもヴァロも割とIGLやったりするし、マクロもやれそうではあるよ。
[4:30:58] 風待人: まあ実際数こなして分かることもあるし今後に期待だ
[4:30:59] NemoUQ: まぁ最初から全部飲み込めたら誰もランクで苦労せんから繰り返し学習よ
[4:31:04] sbnobutbs: 基本が多いゲーム故に
[4:31:05] まなっど: 基本が奥義ッて部分が多いから難しいこと教えてるように感じる
[4:31:05] saditv36: 基礎が膨大でござ
[4:31:06] imu16: 教えてくださいって人には良いんじゃないか
[4:31:12] でかいのに0: アフターフォローすれば問題なかろう
[4:31:13] darksworks: 基礎が多すぎるんだよな
[4:31:18] kiri_saka: 基本が多くて難しいからできるだけで上位帯行けるってゲームだし
[4:31:21] インペリアルデグー: 何やっていいか分からんゲームだからとりあえず紹介しとくのは大事だと思う
[4:31:32] trigger0102: 基礎はどこかで聞いた程度に思い出せるときが出るから詰め込むのもありだと思ってる
[4:31:45] まろのすけ: fizzは強いけど序盤のレーンの弱さは初心者に耐えられるのか
[4:31:46] あわふじゲーミング: 勇気を出してたまーに、たぬさんから声をかけてみるのもいいかも
[4:31:57] 無知無知で叡智: レーン戦何が強いかはボコボコにしたほうがわかりやすく思える
[4:31:58] vivid_john: にんにん、ほんまにありがとうな。
[4:32:03] でかいのに0: 聞いた気がするが大事と
[4:32:16] kiri_saka: まぁますアカ生とフレックスみたいに一緒にサモリフ出陣することもあるやろ
[4:32:29] vivid_john: にじさんじLoL村少しずつ復興中だから、にんにんありがてぇよ。
[4:32:36] darksworks: 勝手に覚えて行ってる
[4:32:55] kawachibankan: 情報量多いけど、配信見返しとかも活用してるとか？
[4:32:58] kasukabeharu: 他のゲームもいっぱいやってるからあーねってなりやすそう
[4:33:03] もうちょい: てか今回ってむこうから声かかった感じ？
[4:33:04] sbnobutbs: JGよいち MIDABO SUPすみー いつかたぬアカで打倒増アカしてほしいな
[4:33:11] imu16: 対戦ゲームかなりやってる人多いしな
[4:33:20] vivid_john: CRカップやらV最やら結構出てるから、普通に上手くなりそう
[4:33:23] よしはるさん: たぬアカは草
[4:33:42] kiri_saka: 興味が吸収力として出るから成長速度に合わせるのはこの先よね
[4:33:44] 無知無知で叡智: たぬき忍術学園
[4:33:45] bot4moti: ハマるかどうかだと思う
[4:33:45] shinzaki999: たぬあかは理系
[4:33:48] nagumon007: たぬきの里ではなくアカデミアになっちまったか
[4:33:51] trigger0102: たぬアカ側のメンツが豪華ｗ
[4:33:57] sinma001: こういうコーチングはスタートの切り方としては最高の部類だよ
[4:34:01] 五城: そろそろ教科書作りますか？
[4:34:20] jericho__lol: loltv.....頭が...
[4:34:22] よしはるさん: こういう機会のために授業の流れ作るか
[4:34:24] えるみっと: 教科書作りは良いですな、作って売ろう
[4:34:27] nagumon007: たぬきが真剣に考えたら良い教材できそう
[4:34:35] kiri_saka: あーｗ
[4:34:38] あわふじゲーミング: ウェーブは初心者には難しすぎるとは思う
[4:34:40] shinzaki999: 生徒が質問上手だった
[4:34:41] でかいのに0: 教えることで気がつくこともあると
[4:34:44] zunda11111: たぬき忍術学園
[4:34:47] trigger0102: たしかにｗミニオンが何体でくるかも質問あったし
[4:34:54] sxottle: 台本書いても良さそう
[4:35:02] まなっど: ふわっとでも聞いておくのは割と大事だとは思うウェーブコントロール
[4:35:05] nagumon007: ウェーブは理解したら簡単
[4:35:07] darksworks: メレーとメイジとキャノンがすべて違うは慣れてくるともう気にしなくなるから聞いてくれてナイスって感じだ
[4:35:16] レティツィア: ウェーブは難しいけど知らないととんでもない差をつけられる部分
[4:35:19] oya1642: 避けて通れない所だから
[4:35:20] kiri_saka: LoLの常識世間の非常識
[4:35:21] imu16: 教えるときにありがちな話だ
[4:35:22] trigger0102: たしかに調べるまでなんとなくなところですね
[4:35:23] ぐえ一: クイックキャストも使ってなかったし初歩的な話どこまでしていいのかのライン難しそう
[4:35:23] zunda11111: レーンわからんとそもそも勝負の土俵にすら立てんこと多いしね
[4:35:27] まろのすけ: mobaの知識0だとむずいよね
[4:35:27] asahi350: カイトってなんだよ💢
[4:35:34] standoing: 初心者コーチングの時いつもウェーブ難しい問題が出ててる
[4:35:35] よしはるさん: ミニオンってこのゲームで自分のチャンピオン以外だと一番触れる物って意識なくなりがち
[4:35:37] shinzaki999: 基礎固めミスるとあとで苦労するんだよなあ
[4:35:42] でかいのに0: レーンはミニオンでファームする場所ゆえミニオンの知識が重要でござるな
[4:36:04] コーラ大好き: あのアニビアなんでレート上がってるんだろ
[4:36:13] Kiri_1111: ゲーム側が説明するべきでござ
[4:36:18] kiri_saka: ミニオンCSって初心者の想像してる500倍くらい重要なの変なゲームやで
[4:37:03] trigger0102: 格上だから博打撃って勝ちに来たか？
[4:37:22] kiri_saka: LoLの画面越しに人間を読み出すスタイル
[4:37:25] でかいのに0: アニビア足遅すぎてゼラスの相手するのほんま無理
[4:37:28] よしはるさん: 実際鳥で普通にレーン戦したらきつい・・・
[4:37:55] nukmor: tanukiTanu
[4:37:55] まろのすけ: おつ
[4:37:58] 風待人: おつかれでござ
[4:37:58] sjfheed: 乙
[4:37:59] nifu541: おつです
[4:38:00] kasukabeharu: おつ
[4:38:01] nagumon007: おつたぬき
[4:38:02] touhounotouen: 教えるのは疲れるからな。おつかれさま。
[4:38:02] imu16: お疲れ様でござ
[4:38:03] sinma001: おつかれさまでした
[4:38:04] えるみっと: おつおつ
[4:38:06] でかいのに0: 15時間カスタムと比べてもなかなかカロリー高かった
[4:38:06] レティツィア: お疲れ様
[4:38:06] もうちょい: おつ
[4:38:06] trigger0102: おつかれさまです！
[4:38:07] よしはるさん: おつござ
[4:38:07] kiri_saka: tanukiBaibai
[4:38:23] ラハール: tanukiBaibai
[4:38:25] あわふじゲーミング: おつござー
